,cause,cluster,dist,frequency,beta,p_value,tsne_x,tsne_y,"type: sci, news, expanded",new cluster after granger test
78,major offensive,4,4.492290000000001,9440,0.1557,0.004599493805,37.90439987,-17.35074806,sci,2.0
79,without international aid,3,3.9453699999999996,8760,6.6674,0.004708703509,45.622715,2.196714401,news,2.0
80,prolonged dry spell,1,4.08991,5545,4.3367,0.004865805774,-5.6511535639999995,-11.52291965,expanded,2.0
81,rise,0,1.62032,1377032,3.5634,0.004930549957,16.87916374,53.85364151,sci,0.0
82,restricted relief flights,3,4.50429,1363,6.8046,0.004963288728,50.97190094,9.633406639,sci,2.0
83,civil strife,4,2.69695,13991,0.3718,0.004994288424,27.93562317,-27.71813393,expanded,3.0
84,aid workers died,0,4.8139199999999995,2154,9.2164,0.005062255579,34.97365952,-3.689819574,sci,2.0
85,rival warlords,4,5.1493,5373,9.4735,0.005116219352,32.57451248,-32.89603806,sci,3.0
86,land reform,3,3.7951900000000003,41067,1.3707,0.005305618782,44.48122406,-3.811554193,expanded,0.0
87,lack of roads,3,4.15946,2772,5.1717,0.005334041328999999,12.54402828,19.36064911,news,2.0
88,pushing peasants off,0,4.592890000000001,6712,8.1403,0.005384398819,36.5226593,-2.30891943,expanded,0.0
89,locusts,2,4.16812,8566,4.6421,0.005395511067,-64.33013153,32.57050705,news,1.0
90,gangs of bandits,4,5.92413,7490,3.8725,0.0054238001560000006,43.82201767,-29.02327347,sci,2.0
91,repression,4,4.60123,47806,9.961,0.0054534352339999995,29.45191002,-46.9444809,expanded,0.0
92,humanitarian disaster,3,4.58705,15271,8.2224,0.005519657256,15.67950916,-1.255351305,sci,4.0
93,years of warfare,4,3.66099,9517,0.4448,0.005656453392000001,37.3250885,-12.6693716,expanded,3.0
94,floods,1,4.18631,66570,8.7211,0.005675077181,-19.15644455,-58.01078415,sci,2.0
95,unable to sow,3,4.89365,1136,4.1752,0.005677417854000001,24.08788872,-15.55459309,news,2.0
96,transport bottleneck,3,4.8558699999999995,9160,3.6919,0.005766076468,15.35022163,20.43012047,sci,4.0
97,pirates,0,6.57645,58269,7.9804,0.005853688614,43.28117371,-28.27421379,news,2.0
98,reduced imports,0,3.31265,2768,6.9882,0.005965862679,12.94509029,45.23743057,sci,2.0
99,apathy,3,5.5368900000000005,22556,2.997,0.006067534702,2.025991678,-30.51557922,expanded,0.0
100,coup,4,5.70333,527508,4.9444,0.006108990002,49.74837494,-20.63512993,sci,2.0
101,epidemics,2,4.32803,17647,0.1593,0.006171152161,-47.47833633,2.0263514519999997,news,1.0
102,siege,4,5.31832,87720,8.7949,0.006260490386,40.94711685,-21.44951248,sci,2.0
103,power struggle,4,3.92794,29977,6.074,0.0064138062769999995,33.27475357,-24.07674026,expanded,3.0
104,livestock had died,0,5.09657,1668,9.4386,0.006527499348,-36.86256027,32.00965881,sci,2.0
105,blockade,4,5.75885,34132,4.4458,0.0065637145719999995,21.31532669,-17.18694878,sci,2.0
106,burning houses,0,5.13203,9967,9.021,0.006790085442,27.97092056,-13.60314655,sci,2.0
107,brain drain,3,5.036919999999999,7744,3.8791,0.006820964967000001,-12.89875412,25.88351822,news,2.0
108,severe rains,1,3.71794,4435,7.4873,0.0068933050459999996,-21.77135277,-53.80577469,expanded,2.0
109,infrastructure damage,3,4.55255,7039,6.9902,0.006896605603999999,11.00514317,20.36595726,expanded,4.0
110,land degradation,3,4.242319999999999,5770,5.5578,0.006953427469,-12.69944096,16.6505909,news,4.0
111,human rights abuses,4,4.3152,57870,3.5063,0.006992730405999999,57.65519714,-8.886722565,expanded,0.0
112,lack of cultivation,3,3.9719300000000004,1551,5.9206,0.0070204916910000005,-13.3481884,30.71424103,news,0.0
113,harvest decline,0,3.17159,6871,6.7073,0.007043457352,-18.87593842,40.18847656,sci,0.0
114,flee,4,5.611190000000001,286920,5.6664,0.007169381324,32.78919983,-16.95206451,sci,2.0
115,economic crisis,3,3.3345599999999997,53800,6.1767,0.007237512771,4.669146538,18.8202095,sci,0.0
116,greenhouse gases,3,5.1734,8527,7.8439,0.007302483598,6.131110191,13.45394516,sci,4.0
117,prolonged fighting,4,3.2459700000000002,5625,3.4939999999999998,0.00753018165,28.88155746,-25.79034424,sci,3.0
118,tragedy,4,5.00821,106500,2.6545,0.007556887466,-7.570635319,-41.60954285,sci,4.0
119,slave trade,0,4.29914,10112,2.0178,0.007629400164,33.82632828,2.3079431059999997,news,0.0
120,environmental degradation,3,3.7976400000000003,16565,7.2719,0.00765613037,-8.34862709,14.79409218,news,0.0
121,infant mortality,0,5.13687,16418,8.2252,0.0077372312580000005,-31.90032387,1.564739347,expanded,0.0
122,catastrophe,3,4.8092,50612,2.0461,0.007815340548,-7.392421722000001,-39.40271759,sci,4.0
123,wreaked havoc,1,4.95825,6419,3.7854,0.007864423832,-12.45752621,-44.29247284,sci,4.0
